Messege,Manual Sentiment
chala bagundali antha,Neutral
nfl #playoffs! might want to start thinking about this: http://t.co/0nvx6l5avi #nfl #xlviii #nynj which team are you rooting for today?,Neutral
breakfast,Neutral
hope you enjoyed it!,Positive
"hi, i made a complaint yesterday and was told i would get an email with the outcome. do you know how long this normally takes?",Negative
"yes i did, they told me if get an email resolution but they didn't say when.",Neutral
have you checked your spam folders yet? ^jn,Negative
i carnt down load software too my new game it keeps saying error please help,Negative
"well let's take a look at that together! are we working with an xbox 360 or xbox one? also, what game? ^ad",Positive
xbox 360 it was all fine untill i put lma manger in and download all players from 2006,Neutral
what game is this in? ^jn,Neutral
how the fuck is this acceptable? fix your fucking service http://t.co/b5cknx9gnf,Negative
bought an isis iphone nfc case fr at&amp;t thinking it wasn’t carrier specific. found out: it is :( why isn’t tmo iphone supported?,Neutral
hey there! do you have a t-mobile iphone and service? isis does require a specific sim card in order to work :) ^vs,Neutral
"booking ld94td to be changed to mh0177 kl to maldives on 23 april 2014, mh0176 maldives to kl on 27 april 2014. what info else?",Neutral
"hi, kindly submit your request via e-form at http://t.co/k6ayoyyenj for further assistance. thank you.",Positive
"severe weather causing delays in the southeast, mid-atlantic and northeastern u.s. details: http://t.co/qekbimdkmj",Negative
¿qué os parece el nuevo samsung galaxy s5? en amazon ya lo tenemos en preventa. http://t.co/bz3lirehrf,Neutral
"weaponized 115: thp66-cp4wg-kx7gw-wm6wy-3cjvz now, go get lucky.",Positive
com boards at coventry stating to queue in gold zone. no access 1st through coupled train. thanks virgint,Neutral
"are you able to access the other first class carriage, simon? ^rm",Neutral
got off at milton keynes and the accessed first class but really should have been notified at cov.,Neutral
indeed. could you email __email__ with details? we'll see if we can make it up to you. ^rm,Neutral
what's the deal with flight 1038 to boston? lotta confused and angry people in austin.,Negative
we apologize for the delay and understand it's frustrating. please speak with a gate agent and they'll be happy to assist.,Positive
boooo jetblue!!!!,Neutral
hi. is there something we can help you with this evening?,Positive
no thanks. you already brushed me off. that's why i booed you.,Neutral
we would never brush you off. we're right here if you change your mind.,Neutral
"all right, i'll bite. any info on flight 1038 to boston? or should i ask the gate agent who hasn't been told yet what's happening?",Neutral
looks like at this time flight 1038 is delayed at this time until 11:19pm.,Neutral
"hey jb, i have a travel bank credit - is it possible to transfer the credit to a friend or does it need to stay in my name? thx!",Positive
"jetblue credits are transferable. you can book the reservation in your friend's name and select ""travel bank"" (cont)",Neutral
i can't recharge my glo line. kindly help,Positive
i can't recharge my glo line. kindly respond to my messages,Negative
"to recharge, pls dial 123 and follow the voice instructions to recharge. thank you",Positive
"hi i'm collecting lanyards, trying to become the uk record holder. would you have a fgw lanyard to spare? :-)",Neutral
hello! if you dm us your details i'm sure we can get one sent to you :) grant,Positive
thank you. i've sent you my details :),Positive
great - thankyou! leave it with us and we'll see what we can do :) grant,Positive
roadside assistance does cover lockout. we dispatch service provider; you only pay for the cost of the keys. ^kj,Neutral
the cost of the keys? what does that mean?,Neutral
thank you for sending me this fgw lanyard. #firsttrainlanyard http://t.co/bifazb4vdm,Positive
you're welcome! glad it got to you ok :) grant,Positive
if keys are locked in your car roadside assist will open the car no charge. you'd only pay for replacement keys if needed^bg,Negative
try pinning a tweet to the top of your new web profile! choose a tweet to pin and click ... to see this menu on web: http://t.co/mmdgfuwlgc,Neutral
"to pin a tweet, first opt in to the #newprofiles, then visit your profile page on the web. read more: https://t.co/um6jubwfue",Neutral
"#recomiendaunlibro ¿qué cuento hizo que vivieras en el engaño, pero feliz, durante toda tu infancia?",Neutral
it’s true: we’ll pick-up and deliver your prescriptions in under an hour. we call it #drugsondemand,Neutral
"cox is having an internet outage in phoenix, az http://t.co/oh2g0i9klq rt if its down for you too #coxoutage #phoenix http://t.co/hg6cpqttcm",Neutral
mola cómo ha quedado spotify. #freshspotify http://t.co/h8ckyeokxp http://t.co/ys6ssua46m,Neutral
